Age,Education Level,Years of Experience,Role,Department,Location,Salary
56,PhD,0,Business Analyst,Marketing,San Francisco,136153.73
38,Master,1,System Administrator,HR,New York,89919.54
28,High School,6,Business Analyst,Product,San Francisco,67596.84
34,PhD,7,QA Engineer,HR,Chicago,103745.34
24,Associate,1,Data Scientist,Product,Chicago,53002.87
26,High School,4,Product Manager,IT,New York,80040.7
27,PhD,4,Manager,Marketing,New York,145006.29
32,Associate,3,Consultant,Product,Chicago,65981.1
34,Associate,12,Product Manager,Marketing,Austin,108825.83
34,Associate,0,Software Engineer,Finance,Boston,67991.2
23,Master,1,System Administrator,Finance,Boston,76429.95
52,Master,7,Software Engineer,Product,Seattle,119925.14
53,High School,14,QA Engineer,Finance,Boston,104405.04
32,Master,2,Software Engineer,HR,New York,105613.26
30,Master,8,QA Engineer,Finance,Boston,99473.29
58,High School,5,Data Scientist,Marketing,Austin,70937.83
50,Bachelor,11,Product Manager,Operations,Los Angeles,139646.62
55,PhD,15,Data Analyst,Product,Austin,130521.69
60,Associate,4,Consultant,HR,Austin,78369.65
49,Associate,7,Manager,Operations,San Francisco,108454.21
44,Associate,5,Data Scientist,Customer Support,New York,95863.12
55,Master,9,QA Engineer,Product,Boston,106001.91
30,Master,7,Software Engineer,HR,Chicago,105908.65
32,Master,6,Software Engineer,Marketing,New York,109696.22
46,Master,12,Data Analyst,IT,Seattle,118561.57
45,Master,13,Manager,Operations,San Francisco,178746.39
37,Master,11,Data Scientist,Marketing,Austin,113621.54
43,PhD,20,QA Engineer,Operations,Boston,170003.76
52,PhD,27,QA Engineer,Marketing,Chicago,157286.52
49,Bachelor,16,Product Manager,Finance,Austin,119219.33
55,Master,31,Consultant,Finance,Austin,161313.95
47,Bachelor,6,Data Scientist,Product,Boston,102851.34
29,High School,1,Consultant,Finance,New York,56860.53
32,High School,1,Software Engineer,Marketing,New York,55051.69
43,PhD,20,Business Analyst,Customer Support,New York,180411.97
48,PhD,18,Data Scientist,IT,New York,202709.54
57,Bachelor,13,Product Manager,HR,Los Angeles,149005.59
60,Bachelor,17,QA Engineer,Marketing,New York,124680.22
55,Associate,28,Product Manager,Customer Support,San Francisco,213080.75
25,Bachelor,2,Business Analyst,Finance,Seattle,70401.52
30,Associate,4,Product Manager,Customer Support,Chicago,75737.03
22,Bachelor,0,Software Engineer,Finance,Austin,49105.36
58,Master,10,Manager,Finance,Austin,126805.98
40,PhD,1,Manager,Finance,San Francisco,158347.62
35,High School,1,Manager,Operations,Austin,55136.07
22,Bachelor,0,Data Scientist,Marketing,Austin,65057.14
25,Associate,2,Product Manager,Marketing,Los Angeles,92659.28
55,Master,2,Product Manager,Finance,San Francisco,132079.22
23,Master,1,Data Analyst,HR,Seattle,69834.54
57,Associate,34,Business Analyst,IT,Chicago,155824.66
31,High School,5,QA Engineer,Product,San Francisco,67880.93
28,PhD,2,Product Manager,HR,New York,153455.84
44,Master,12,Consultant,Customer Support,Austin,109683.28
60,Associate,3,Data Scientist,Operations,Chicago,82462.16
60,Bachelor,26,QA Engineer,Marketing,San Francisco,160446.12
30,Bachelor,7,Data Analyst,HR,Chicago,78588.39
40,Associate,6,Manager,IT,New York,104233.59
44,Associate,5,Manager,Customer Support,Seattle,91146.7
53,PhD,7,Product Manager,Marketing,Austin,149978.81
42,Associate,6,Consultant,Operations,New York,80699.69
22,High School,0,Software Engineer,Operations,Los Angeles,59576.33
36,PhD,4,Manager,HR,Los Angeles,149360.53
60,Bachelor,32,Consultant,Marketing,Seattle,182389.32
45,Master,1,Product Manager,Operations,San Francisco,134387.2
46,High School,17,System Administrator,Marketing,Seattle,95010.95
52,PhD,23,Product Manager,Customer Support,Boston,227333.34
58,High School,22,Manager,Finance,Austin,130118.3
49,Bachelor,13,Manager,Customer Support,San Francisco,159030.27
57,Bachelor,5,Manager,HR,San Francisco,118558.57
44,PhD,13,Data Analyst,IT,Boston,148290.4
45,High School,0,System Administrator,Finance,Boston,50131.03
23,PhD,1,Product Manager,Finance,Los Angeles,140562.34
49,High School,5,Data Scientist,IT,Seattle,79998.58
34,Bachelor,10,Manager,HR,Boston,118898.44
28,PhD,4,Data Scientist,Customer Support,Seattle,126642.82
40,Master,17,System Administrator,Product,Los Angeles,134393.87
31,PhD,7,Product Manager,Finance,Los Angeles,168462.85
24,PhD,0,QA Engineer,Product,Seattle,87083.82
47,Bachelor,16,Business Analyst,IT,Los Angeles,127464.55
39,High School,11,Data Analyst,IT,Austin,66682.09
56,Bachelor,8,Business Analyst,Marketing,Los Angeles,107021.98
43,Master,8,System Administrator,IT,Boston,114270.17
41,High School,17,Consultant,Finance,New York,105246.45
35,Master,12,QA Engineer,Marketing,San Francisco,117320.15
48,Master,25,Manager,HR,Los Angeles,203156.5
45,Associate,15,Manager,Product,Boston,133736.27
45,High School,14,Product Manager,Finance,San Francisco,138316.59
22,PhD,0,Business Analyst,Finance,Chicago,93625.53
22,Master,0,Manager,Operations,Chicago,85895.1
57,Associate,25,Consultant,HR,San Francisco,152302.6
30,Master,0,Product Manager,IT,San Francisco,108216.24
22,High School,0,Data Analyst,Operations,San Francisco,50732.76
22,Bachelor,0,Product Manager,Operations,Los Angeles,92324.66
37,Master,9,Consultant,HR,New York,129906.5
50,High School,3,QA Engineer,Marketing,Chicago,61879.99
40,Associate,6,Software Engineer,Product,New York,89242.25
45,Associate,19,Product Manager,HR,Boston,150398.83
31,Associate,8,Business Analyst,IT,Seattle,74993.26
29,PhD,0,Consultant,Product,Austin,83751.55
35,Master,1,Software Engineer,Marketing,Austin,80479.89
46,Bachelor,9,Data Analyst,HR,Austin,85053.29
37,PhD,3,Business Analyst,Finance,Los Angeles,127811.2
42,Bachelor,20,System Administrator,Product,New York,125354.43
36,Associate,9,Data Analyst,HR,Austin,75291.56
60,High School,6,Manager,Product,Austin,78237.06
46,Master,24,Product Manager,Customer Support,Chicago,170583.64
40,Associate,13,Software Engineer,IT,Seattle,110444.73
33,High School,10,QA Engineer,Marketing,Chicago,66611.57
25,Master,0,Data Scientist,IT,Seattle,91016.19
35,PhD,4,Consultant,HR,Los Angeles,135415.86
28,High School,4,Data Scientist,HR,Boston,73339.15
23,High School,0,Data Scientist,Customer Support,Austin,48123.96
33,Bachelor,4,Product Manager,Finance,San Francisco,115447.86
27,High School,0,Consultant,Customer Support,Chicago,46041.9
37,High School,4,Software Engineer,HR,Los Angeles,70450.14
37,PhD,2,Data Analyst,IT,Austin,94544.09
43,Associate,14,Product Manager,HR,San Francisco,142125.85
49,High School,1,Consultant,HR,New York,68214.79
32,High School,0,Software Engineer,Operations,Austin,52826.78
50,PhD,7,Consultant,Customer Support,Seattle,137409.72
58,Bachelor,16,QA Engineer,Marketing,New York,123366.02
46,Master,13,Consultant,Product,Boston,132666.76
32,Associate,9,Business Analyst,Operations,Los Angeles,80232.3
26,Bachelor,0,Product Manager,Operations,Boston,85603.84
28,High School,0,System Administrator,IT,Boston,46241.85
38,PhD,6,Software Engineer,HR,Los Angeles,145235.2
59,Bachelor,2,QA Engineer,Finance,Seattle,76213.24
50,High School,13,QA Engineer,Finance,Chicago,76712.51
25,PhD,0,Product Manager,Marketing,Austin,102777.88
43,Associate,8,Product Manager,IT,Chicago,97335.13
33,High School,3,Business Analyst,HR,Austin,50863.34
36,PhD,11,Product Manager,Finance,Seattle,173980.29
55,Associate,18,Consultant,IT,Boston,128288.79
43,Bachelor,4,System Administrator,Marketing,Seattle,72767.74
37,Bachelor,11,Business Analyst,Marketing,New York,111078.69
33,Master,8,Business Analyst,Operations,New York,111372.33
52,Associate,29,QA Engineer,Product,Boston,147592.46
44,High School,4,Manager,Marketing,Boston,87244.56
49,PhD,19,Manager,Operations,Austin,173250.34
36,Bachelor,3,Consultant,Operations,Boston,91907.61
56,Master,9,Data Scientist,Finance,Seattle,132995.05
46,Associate,17,Data Scientist,IT,Los Angeles,133995.17
32,PhD,9,System Administrator,HR,San Francisco,146069.05
26,High School,0,Business Analyst,IT,Los Angeles,54862.61
28,Associate,6,Consultant,Customer Support,Seattle,85471.82
55,Bachelor,8,Consultant,HR,Chicago,93248.06
26,Bachelor,2,Software Engineer,Product,Los Angeles,78497.29
38,PhD,4,Data Scientist,HR,San Francisco,170078.04
52,Associate,8,Manager,Marketing,Los Angeles,113120.65
25,PhD,1,Manager,IT,Austin,112789.86
48,Associate,9,Data Scientist,Product,New York,104604.8
44,High School,13,Data Scientist,IT,Seattle,98845.75
36,High School,11,Business Analyst,Finance,Los Angeles,85250.46
41,PhD,2,Product Manager,Product,Austin,121570.94
53,Associate,9,Data Analyst,Operations,New York,98191.4
54,PhD,2,Manager,Customer Support,New York,148834.44
49,Bachelor,3,Data Scientist,Customer Support,Seattle,92549.86
53,Master,14,System Administrator,Product,Seattle,115146.35
31,Master,3,Software Engineer,Customer Support,Chicago,84954.72
27,Bachelor,4,Product Manager,Finance,San Francisco,105833.61
36,Master,1,Manager,IT,Seattle,109612.63
22,High School,0,Data Analyst,Finance,Austin,41238.68
38,PhD,4,Software Engineer,IT,Chicago,125877.45
60,Associate,2,Manager,IT,Boston,93003.32
29,PhD,6,Data Analyst,Marketing,San Francisco,135436.99
57,Associate,6,Software Engineer,Customer Support,New York,104477.35
60,PhD,13,QA Engineer,Marketing,Chicago,127185.47
38,PhD,9,Business Analyst,Finance,Seattle,129107.4
58,Master,9,Product Manager,Product,Boston,148742.49
34,Bachelor,1,Data Analyst,Operations,Los Angeles,71220.05
34,Associate,10,Product Manager,Product,Boston,112685.82
49,Master,0,Consultant,HR,Chicago,89389.09
26,Bachelor,4,Product Manager,Marketing,Austin,77463.82
60,Associate,34,Consultant,Customer Support,Austin,147606.97
58,Master,11,QA Engineer,Operations,Chicago,107789.49
43,Associate,12,Consultant,Customer Support,Boston,106876.78
36,Associate,5,Data Scientist,IT,Seattle,88117.94
52,Master,23,Manager,Operations,Chicago,171159.93
49,High School,14,Consultant,Product,Austin,84843.55
54,Master,28,Data Scientist,HR,San Francisco,231984.7
37,Master,9,Product Manager,Finance,Chicago,119201.98
27,Master,0,QA Engineer,Finance,Seattle,71015.68
57,Master,32,System Administrator,IT,New York,174989.75
41,High School,19,Product Manager,Marketing,Seattle,135523.4
38,Master,11,Product Manager,Product,San Francisco,160470.47
54,Associate,27,Product Manager,Finance,Seattle,169263.25
34,PhD,12,System Administrator,Operations,Austin,109058.67
53,Associate,22,Data Scientist,Finance,Los Angeles,157542.33
57,Associate,30,System Administrator,Marketing,San Francisco,168693.85
34,Bachelor,4,Consultant,Product,Seattle,82642.51
30,High School,2,Manager,HR,New York,73629.31
53,Bachelor,14,Consultant,Operations,Chicago,107050.93
57,Bachelor,14,Data Scientist,IT,Boston,145973.17
30,PhD,4,Consultant,Marketing,Austin,107554.55
55,Associate,23,System Administrator,Product,Austin,105936.59
41,Master,4,Consultant,HR,New York,107076.65
60,Master,12,Product Manager,Marketing,Boston,151134.45
41,PhD,12,Software Engineer,Marketing,Boston,163012.76
23,High School,0,Manager,HR,New York,67745.02
35,Associate,1,Business Analyst,Product,Chicago,63035.09
46,High School,16,Product Manager,Operations,Boston,136944.67
52,High School,24,QA Engineer,Finance,San Francisco,130611.13
29,PhD,1,Product Manager,HR,San Francisco,147507.04
33,Master,2,Business Analyst,Customer Support,Los Angeles,105870.15
33,Bachelor,4,System Administrator,HR,Los Angeles,73632.2
33,High School,10,Data Scientist,Finance,Chicago,83982.99
54,Associate,29,Product Manager,Product,Los Angeles,195950.37
51,Associate,2,Manager,Customer Support,Boston,94397.32
58,PhD,32,QA Engineer,Operations,Los Angeles,208104.8
56,PhD,20,Data Scientist,HR,Boston,202823.63
24,High School,2,QA Engineer,IT,Seattle,46741.86
35,Master,13,Product Manager,Finance,New York,164478.85
24,Bachelor,2,Product Manager,Finance,Austin,77509.96
52,PhD,13,Manager,Customer Support,Seattle,185650.44
47,PhD,7,Software Engineer,IT,Seattle,137898.84
27,Master,3,Software Engineer,Finance,Austin,78396.25
49,Associate,7,Business Analyst,Operations,Los Angeles,93707.22
58,PhD,13,System Administrator,HR,Chicago,143732.82
39,Bachelor,14,Data Scientist,Customer Support,San Francisco,146740.34
46,High School,17,System Administrator,HR,San Francisco,115130.38
43,High School,16,Data Analyst,Finance,Seattle,91072.71
41,Master,10,Software Engineer,HR,Chicago,114087.56
54,Bachelor,28,Consultant,Operations,Chicago,148038.22
44,High School,21,Data Analyst,HR,Chicago,101654.79
26,Bachelor,4,System Administrator,Finance,Boston,70719.99
27,Master,2,Data Analyst,Product,Chicago,80474.18
39,Bachelor,12,Data Analyst,Marketing,New York,115713.63
47,Associate,18,Data Analyst,Finance,Austin,102983.48
25,Associate,0,Product Manager,Customer Support,Boston,66206.03
31,PhD,2,Manager,Product,New York,143182.87
51,Associate,15,System Administrator,IT,Austin,90834.64
45,Master,11,Business Analyst,Customer Support,San Francisco,132247.69
36,Bachelor,7,Software Engineer,HR,San Francisco,106085.26
53,Master,12,System Administrator,Marketing,Austin,98923.29
42,Associate,17,Consultant,Marketing,San Francisco,134490.3
56,High School,25,Business Analyst,Customer Support,Seattle,135043.48
59,Master,31,Software Engineer,Customer Support,New York,203176.82
52,Master,14,QA Engineer,Marketing,Boston,121746.01
38,Associate,3,Software Engineer,Product,San Francisco,83638.06
47,Master,16,QA Engineer,Finance,Austin,105699.61
28,PhD,5,Business Analyst,Finance,Austin,92051.43
53,High School,16,Business Analyst,Marketing,New York,118108.8
42,Master,10,Data Scientist,Operations,Chicago,127190.75
49,Master,14,Product Manager,Finance,Austin,136678.67
43,PhD,7,Software Engineer,Customer Support,Seattle,140890.31
47,Master,13,Software Engineer,IT,New York,150161.62
22,High School,0,Data Scientist,Finance,Austin,48139.3
55,Master,22,Product Manager,Finance,Seattle,178811.46
37,Master,1,Data Scientist,Marketing,New York,99795.23
48,High School,8,Software Engineer,Operations,Chicago,76795.34
30,Associate,8,QA Engineer,Finance,Boston,71390.3
36,Associate,12,Data Analyst,Product,Boston,98794.36
32,Master,8,Data Scientist,Operations,Los Angeles,124872.2
32,Associate,2,Data Analyst,Marketing,Seattle,64955.08
23,PhD,0,Consultant,Product,Chicago,102295.41
37,Bachelor,4,Software Engineer,Customer Support,Boston,89248.65
22,PhD,0,QA Engineer,Product,Los Angeles,105739.0
23,High School,1,Product Manager,Finance,Austin,55084.11
43,High School,13,System Administrator,Product,Austin,60160.58
32,High School,7,System Administrator,HR,New York,72597.54
41,High School,3,Product Manager,Finance,Austin,64772.66
56,Associate,22,Data Analyst,IT,Boston,134051.27
33,High School,11,Data Scientist,Finance,San Francisco,99540.14
42,Master,8,Manager,Finance,Los Angeles,133684.0
60,Bachelor,31,Data Analyst,Customer Support,New York,172224.75
39,Associate,15,System Administrator,Customer Support,Austin,86301.58
45,PhD,19,Software Engineer,Marketing,San Francisco,208721.7
52,High School,3,System Administrator,Product,Austin,56943.26
56,Master,33,Business Analyst,Product,New York,204491.36
36,High School,11,Data Analyst,HR,Austin,67031.6
26,PhD,4,Business Analyst,Customer Support,Austin,102808.51
37,Associate,8,Manager,Operations,Seattle,95320.76
49,PhD,25,Manager,HR,San Francisco,246409.21
33,PhD,10,Business Analyst,Customer Support,Seattle,129898.8
39,Master,17,Data Analyst,Finance,New York,137428.61
58,Master,35,Data Analyst,HR,New York,189819.78
35,PhD,12,Consultant,Operations,Los Angeles,156136.58
35,PhD,3,Product Manager,IT,Chicago,131145.0
34,PhD,12,QA Engineer,Customer Support,New York,131931.24
45,PhD,12,Consultant,Operations,Boston,156230.97
23,High School,0,Data Analyst,HR,New York,48832.06
32,Associate,6,QA Engineer,Operations,Boston,71146.08
25,Master,3,Software Engineer,Operations,Chicago,96848.12
46,Bachelor,21,Consultant,Marketing,Chicago,132656.15
50,Master,5,Business Analyst,Customer Support,Boston,111190.74
60,Associate,19,QA Engineer,Product,San Francisco,128049.81
38,PhD,6,Manager,Marketing,Chicago,134970.83
50,Bachelor,21,Data Scientist,HR,Chicago,133633.53
52,Associate,4,Consultant,HR,Seattle,82910.58
33,Bachelor,5,System Administrator,HR,Los Angeles,80879.06
36,Master,11,Manager,Finance,Austin,122613.49
30,High School,5,Manager,Marketing,San Francisco,86731.95
50,Master,19,Product Manager,Operations,Seattle,174688.62
34,Associate,5,QA Engineer,Product,Boston,68404.99
42,Master,14,Data Analyst,Marketing,Austin,104290.36
41,High School,18,Data Scientist,Marketing,Seattle,115796.29
32,Bachelor,7,Manager,IT,Seattle,108746.66
38,Associate,0,Business Analyst,Product,Boston,55978.96
33,PhD,6,Product Manager,Marketing,Boston,163974.43
34,Bachelor,0,Software Engineer,Marketing,San Francisco,84001.33
41,Associate,5,Data Scientist,Marketing,New York,88627.32
53,High School,30,Data Analyst,Operations,San Francisco,159128.35
36,PhD,14,Manager,Product,Boston,184912.71
58,PhD,34,Data Scientist,Customer Support,Los Angeles,258788.42
23,PhD,1,Data Analyst,Customer Support,Chicago,86671.54
44,Master,10,Data Analyst,Customer Support,Boston,110113.87
25,Associate,2,Business Analyst,Operations,Los Angeles,66765.03
43,Associate,0,Manager,HR,Boston,82800.28
45,Master,12,Data Analyst,Marketing,Boston,125874.74
49,Bachelor,3,Business Analyst,Finance,Chicago,64286.52
29,Bachelor,4,Software Engineer,Finance,Boston,83522.68
47,PhD,24,Product Manager,Operations,Los Angeles,237667.51
35,Master,7,System Administrator,Marketing,New York,109661.43
31,Master,6,Software Engineer,Customer Support,Los Angeles,115189.07
23,Master,1,QA Engineer,Product,Boston,65009.59
34,High School,11,Data Scientist,Operations,New York,104019.06
56,High School,23,Consultant,Marketing,Chicago,119828.57
46,Master,18,Data Analyst,Finance,San Francisco,151097.8
48,Bachelor,9,Manager,Operations,Los Angeles,131086.59
30,PhD,7,Consultant,HR,New York,135692.81
50,High School,26,Consultant,Customer Support,Los Angeles,146764.3
36,High School,12,Manager,Marketing,Boston,107222.4
46,PhD,17,Product Manager,Product,Boston,201668.34
28,Master,0,System Administrator,HR,Chicago,61668.91
60,High School,13,Product Manager,Finance,Chicago,114131.1
22,Master,0,Data Scientist,Finance,New York,99246.91
60,PhD,18,Product Manager,HR,New York,221918.06
59,Master,22,Manager,Product,Boston,187460.39
48,High School,19,Data Analyst,HR,Boston,117254.05
23,High School,0,Business Analyst,Operations,Boston,44365.16
35,High School,1,Data Analyst,Marketing,San Francisco,61174.04
24,PhD,2,Data Analyst,Marketing,Chicago,94760.1
42,Associate,17,Software Engineer,Operations,Seattle,123204.23
42,Bachelor,6,Software Engineer,Customer Support,San Francisco,105252.6
60,High School,2,Product Manager,HR,Austin,70547.55
35,High School,7,Data Scientist,Product,Seattle,78870.08
22,Master,0,Consultant,IT,San Francisco,96900.6
26,High School,2,Data Analyst,Product,Chicago,52026.8
42,Associate,9,Product Manager,HR,Boston,108502.24
33,Associate,7,Manager,HR,Chicago,86797.01
39,PhD,3,Data Scientist,Finance,Seattle,136453.69
48,Associate,16,Software Engineer,HR,Boston,121832.5
39,Bachelor,13,Software Engineer,IT,Boston,111587.38
38,High School,14,Business Analyst,HR,Chicago,87517.08
56,Master,33,Business Analyst,Product,Seattle,186907.71
54,PhD,19,Software Engineer,Product,Austin,165585.68
22,PhD,0,Manager,Operations,Los Angeles,137497.46
22,PhD,0,Data Scientist,Marketing,San Francisco,139421.1
23,Associate,1,Manager,Operations,Chicago,65707.94
35,High School,3,System Administrator,Customer Support,Chicago,53759.9
24,PhD,1,System Administrator,Operations,New York,112819.85
57,Master,19,QA Engineer,Marketing,Los Angeles,145663.98
53,High School,21,Business Analyst,Customer Support,San Francisco,143524.43
33,High School,0,Data Scientist,Operations,Austin,53091.04
35,PhD,5,Data Analyst,HR,Chicago,104098.73
47,Bachelor,2,QA Engineer,Customer Support,Austin,57837.46
41,Associate,14,Data Scientist,Finance,Seattle,116927.4
27,High School,4,Business Analyst,Marketing,San Francisco,67758.42
25,Master,3,Product Manager,Finance,New York,112844.46
23,Associate,1,Business Analyst,Customer Support,San Francisco,64226.51
46,Master,13,Product Manager,Finance,San Francisco,179517.03
38,High School,2,Business Analyst,Marketing,Los Angeles,66200.66
55,Master,4,Business Analyst,HR,New York,109060.33
37,Master,15,Manager,Finance,Boston,158193.96
23,High School,1,QA Engineer,Operations,San Francisco,56584.11
51,PhD,4,Data Analyst,Customer Support,New York,127385.13
37,Master,0,System Administrator,Finance,Seattle,75027.05
33,Associate,4,Data Analyst,Marketing,Seattle,71803.59
31,PhD,1,Software Engineer,Marketing,Boston,121552.0
32,Master,4,Data Analyst,Product,Seattle,97924.02
33,Bachelor,7,Business Analyst,Operations,Chicago,81553.44
56,High School,27,System Administrator,HR,Los Angeles,142807.96
31,PhD,6,Software Engineer,Finance,San Francisco,149224.65
25,Bachelor,2,Consultant,IT,Boston,78972.34
55,High School,19,Manager,Marketing,Los Angeles,148183.66
60,Master,16,System Administrator,Finance,New York,136880.46
35,Bachelor,3,QA Engineer,Product,Seattle,72271.53
50,PhD,21,Data Analyst,Customer Support,Boston,180152.94
40,High School,2,Product Manager,IT,Los Angeles,79136.1
39,PhD,10,Data Analyst,Product,Seattle,133112.49
29,Master,1,Data Scientist,IT,San Francisco,105508.67
43,Associate,13,Manager,HR,Boston,122074.03
52,Associate,17,Business Analyst,Marketing,Chicago,107222.59
45,Associate,4,Business Analyst,Operations,Seattle,72474.55
41,Master,19,Data Analyst,Customer Support,Seattle,131521.56
50,Bachelor,12,Business Analyst,Customer Support,Los Angeles,102419.91
49,Master,2,Consultant,HR,New York,106553.89
39,Associate,11,System Administrator,IT,San Francisco,92943.75
31,Associate,1,Data Scientist,IT,Los Angeles,83381.37
46,Associate,2,Business Analyst,IT,Los Angeles,77138.76
45,Master,20,Manager,HR,San Francisco,205559.18
41,High School,4,Consultant,Product,San Francisco,91567.89
47,PhD,19,Manager,Operations,Boston,202085.15
22,Bachelor,0,Software Engineer,Customer Support,Austin,65237.44
56,Associate,15,Consultant,Operations,Los Angeles,122171.27
56,Bachelor,20,Software Engineer,IT,San Francisco,162352.59
59,PhD,28,QA Engineer,Marketing,New York,198172.14
31,High School,4,Data Analyst,HR,Seattle,54374.63
23,PhD,1,Manager,HR,New York,140778.28
60,High School,8,Business Analyst,Finance,New York,87026.34
30,Associate,5,Product Manager,HR,Seattle,91451.49
41,Associate,14,Business Analyst,Marketing,Austin,92823.54
43,Bachelor,9,Consultant,Product,Austin,82596.92
28,PhD,3,Manager,Operations,Seattle,138444.03
60,Associate,19,Manager,Marketing,Chicago,130869.0
25,Bachelor,3,Manager,IT,Chicago,83193.0
59,High School,33,Product Manager,IT,Chicago,172277.9
53,PhD,24,Data Analyst,Finance,Los Angeles,195672.83
41,PhD,15,QA Engineer,HR,Boston,148414.49
59,Associate,28,Data Analyst,IT,New York,152226.65
51,Master,17,Consultant,Marketing,Chicago,126187.79
51,Associate,28,Business Analyst,HR,Los Angeles,158785.49
42,Associate,11,Manager,Finance,Seattle,111768.42
40,Bachelor,0,Business Analyst,Operations,Los Angeles,70240.66
40,PhD,4,QA Engineer,Product,Seattle,103778.79
45,PhD,5,Consultant,Customer Support,Chicago,118956.86
40,Associate,12,Data Scientist,Customer Support,Boston,107872.68
60,Master,1,Data Analyst,HR,Seattle,96514.2
42,Bachelor,1,Consultant,Marketing,Boston,84199.7
30,Master,4,Software Engineer,Customer Support,San Francisco,115614.19
38,Associate,2,Business Analyst,HR,New York,69950.92
35,Master,3,Software Engineer,Marketing,New York,103254.76
50,Bachelor,6,Software Engineer,HR,San Francisco,112679.6
24,PhD,1,Data Scientist,Finance,New York,134592.98
52,PhD,23,Data Scientist,IT,Seattle,212592.8
45,High School,15,System Administrator,Product,Boston,102102.72
51,Master,20,System Administrator,Marketing,New York,146461.73
23,Master,0,System Administrator,Marketing,Los Angeles,79617.35
53,PhD,28,QA Engineer,Marketing,Seattle,178663.12
39,PhD,3,QA Engineer,IT,Chicago,99730.0
56,Bachelor,33,QA Engineer,IT,Chicago,144908.82
34,Bachelor,7,QA Engineer,Operations,San Francisco,89310.86
53,Associate,28,Manager,IT,Chicago,158985.44
45,PhD,8,Software Engineer,Customer Support,Chicago,133648.19
38,Master,9,Software Engineer,Operations,Seattle,120038.47
36,Master,8,Product Manager,Product,Chicago,125725.42
53,High School,12,Data Analyst,HR,Austin,83445.4
33,Master,1,Data Analyst,Operations,San Francisco,90976.83
43,Bachelor,5,Data Scientist,Customer Support,Boston,104010.82
28,High School,5,Data Analyst,HR,Seattle,65859.29
44,Master,21,QA Engineer,HR,Boston,146031.56
55,PhD,12,Data Analyst,HR,New York,153526.55
56,PhD,4,Business Analyst,Customer Support,Los Angeles,146923.45
23,Associate,0,Consultant,Product,San Francisco,66111.15
45,Bachelor,1,Manager,Marketing,Seattle,96562.15
51,Associate,29,System Administrator,Marketing,Austin,107191.69
35,Master,11,Software Engineer,Product,San Francisco,144773.75
22,Master,0,Business Analyst,Customer Support,Seattle,80309.34
48,Master,18,Software Engineer,Operations,Seattle,140433.39
35,PhD,13,Product Manager,Product,San Francisco,209173.19
57,PhD,14,Product Manager,Finance,Los Angeles,204784.86
44,PhD,19,Business Analyst,Product,Seattle,172487.69
25,Master,1,Software Engineer,Operations,New York,93141.54
60,Associate,15,Data Analyst,Finance,Seattle,116009.39
54,High School,3,Software Engineer,HR,New York,74725.94
22,High School,0,Product Manager,Marketing,Chicago,45461.67
40,Master,8,Product Manager,Marketing,Chicago,124780.3
28,Associate,0,Product Manager,Customer Support,Los Angeles,83375.7
23,PhD,1,Data Scientist,IT,Boston,129251.35
57,PhD,11,System Administrator,Product,New York,150419.78
49,PhD,22,Consultant,IT,Austin,156435.62
49,High School,16,System Administrator,Customer Support,Boston,95659.24
53,High School,25,Data Analyst,Finance,New York,136649.41
31,Master,4,Manager,Marketing,New York,120432.11
31,Associate,7,Software Engineer,Operations,Los Angeles,91390.72
46,High School,1,Software Engineer,IT,Austin,58688.97
30,Associate,7,Data Analyst,Customer Support,New York,72604.16
30,Bachelor,8,Data Analyst,Customer Support,Austin,72999.25
51,Associate,1,Consultant,Marketing,Seattle,69601.28
50,High School,16,Data Analyst,Marketing,San Francisco,118981.26
36,Master,13,System Administrator,Finance,Austin,104720.36
22,Master,0,Business Analyst,Operations,Los Angeles,81524.45
52,High School,28,Data Analyst,HR,Austin,121962.04
29,High School,3,Manager,Operations,San Francisco,79669.92
29,PhD,6,Data Scientist,Customer Support,San Francisco,154164.23
60,Master,30,Data Scientist,Finance,New York,223341.97
50,Bachelor,7,Data Scientist,Marketing,Chicago,98166.37
27,High School,2,Business Analyst,Finance,Seattle,50971.32
26,High School,2,QA Engineer,Operations,Boston,50194.45
48,Associate,1,Product Manager,Operations,Chicago,77685.81
29,Associate,7,Data Analyst,Customer Support,San Francisco,89782.13
39,PhD,0,Business Analyst,Finance,New York,123448.2
24,Master,0,Manager,HR,Chicago,76815.56
35,High School,11,Manager,HR,Seattle,100871.49
58,Bachelor,10,Data Analyst,IT,Los Angeles,114200.88
52,Master,12,Manager,Customer Support,Boston,152861.77
23,High School,0,Product Manager,Product,Chicago,54495.79
51,PhD,12,Manager,IT,Austin,157195.94
24,Master,1,QA Engineer,Operations,Boston,78726.74
59,Associate,16,Manager,Customer Support,Austin,113557.78
54,PhD,12,Manager,Operations,Chicago,163079.5
59,Master,25,System Administrator,HR,Austin,121442.83
57,Associate,9,System Administrator,IT,Chicago,78706.4
24,Associate,2,Manager,Finance,New York,78785.93
60,High School,17,Consultant,HR,San Francisco,130108.34
54,Master,15,System Administrator,Product,Austin,109780.04
31,PhD,9,Product Manager,Operations,Los Angeles,162251.99
36,PhD,4,Manager,Customer Support,San Francisco,165315.4
47,Associate,15,Data Scientist,Marketing,Boston,140589.24
54,PhD,3,QA Engineer,Operations,San Francisco,122291.9
57,Bachelor,22,Data Scientist,Operations,Boston,169091.84
